
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::        (v2.3.1.RELEASE)

2020-07-09 01:22:47.108  INFO [zuul-server,,,] 51852 --- [           main] c.sc.zuul.server.ZuulServerApplication   : No active profile set, falling back to default profiles: default
2020-07-09 01:22:47.534  WARN [zuul-server,,,] 51852 --- [           main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'hystrix.stream' contains invalid characters, please migrate to a valid format.
2020-07-09 01:22:48.331  WARN [zuul-server,,,] 51852 --- [           main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-07-09 01:22:48.655  INFO [zuul-server,,,] 51852 --- [           main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=e5126824-968e-38bc-877b-17b809243655
2020-07-09 01:22:49.486  INFO [zuul-server,,,] 51852 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 80 (http)
2020-07-09 01:22:49.506  INFO [zuul-server,,,] 51852 --- [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-07-09 01:22:49.506  INFO [zuul-server,,,] 51852 --- [           main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-09 01:22:49.572  INFO [zuul-server,,,] 51852 --- [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-07-09 01:22:49.572  INFO [zuul-server,,,] 51852 --- [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2435 ms
2020-07-09 01:22:49.768  WARN [zuul-server,,,] 51852 --- [           main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-07-09 01:22:49.768  INFO [zuul-server,,,] 51852 --- [           main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-07-09 01:22:49.783  INFO [zuul-server,,,] 51852 --- [           main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@1cefc4b3
2020-07-09 01:22:50.823  INFO [zuul-server,,,] 51852 --- [           main] o.s.b.a.e.web.ServletEndpointRegistrar   : Registered '/actuator/hystrix.stream' to hystrix.stream-actuator-endpoint
2020-07-09 01:22:50.875  WARN [zuul-server,,,] 51852 --- [           main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
